label,accession,run_number,barcode_id
M1,M01-076,1126,705-503
M3,M03-106,1126,706-503
M4,M04-29,1126,707-505
M5,M04-89,1126,710-505
M6,M05-111,1126,711-506
M7,M05-53,1126,714-506
M8,M05-74,1126,705-517
M9,M07-161,1126,706-517
M10,M08-96,1126,707-503
M11,M09-128,1126,710-517
M12,M09-146,1128,705-503
M13,M10-30,1128,714-506
M14,M11-137,1128,705-505
M15,M11-154,1128,706-506
M16,M11-17,1128,707-517
M19,M12-19,1128,710-503
M21,M12-77,1128,711-503
M24,M15-0006,1128,711-505
M25,M15-0018,1128,706-505
M27,M15-0065,1128,714-517
M29,M15-0080,1129,707-506
M30,M15-0091,1129,705-503
M31,M15-0101,1129,706-506
M32,M15-0107,1129,707-517
M17,M12-113,1129,711-503
M33,M15-0113,1129,711-505
M36,M16-0057,1129,705-506
M42,M17-0020,1132,711-506
M43,M17-0024,1130,714-517
M45,M17-0033,1132,706-505
M48,M17-0046,1132,710-517
M49,M17-0056,1132,711-503
M35,M16-0052,1129,714-503
M37,M16-0089,1129,706-517
M40,M17-0016,1129,710-517
M44,M17-0031,1132,705-503
M47,M17-0042,1132,707-506
M54,M18-0089,1132,714-505
M55,M19-0040,1132,714-506
M58,M19-0098,1132,706-503
M59,M19-0100,1132,707-517
